Data,Casos confirmats per PCR/TA,PCR Fetes,TA Fets,% PCR/TA Positives,Vacunats 1a dosi,Vacunats 2a dosi,Ingressats,Defuncions,Canvi_diari,Canvi_7D,Canvi_%,Canvi_7D_%,MA_7,MA_30
03/02/2021,2555,39345,18607,5.11,628,13880,2882,62,-369,-898,-0.13,-0.26,2528.71,3352.0
04/02/2021,2405,36549,17498,5.07,1106,11963,2812,65,-150,-935,-0.06,-0.28,2395.14,3274.47
05/02/2021,2181,32481,16444,5.18,1509,16515,2632,67,-224,-916,-0.09,-0.3,2264.29,3297.27
06/02/2021,839,12802,5769,5.12,606,3472,2693,64,-1342,-547,-0.62,-0.39,2186.14,3165.2
07/02/2021,616,5303,3930,6.47,256,692,2768,52,-223,-285,-0.27,-0.32,2145.43,3027.3
08/02/2021,2582,29771,19887,5.68,2306,7607,2650,57,1966,-916,3.19,-0.26,2014.57,3043.4
09/02/2021,2147,36526,23010,4.14,3099,9875,2573,51,-435,-777,-0.17,-0.27,1903.57,3053.8
10/02/2021,1750,31811,23789,3.48,9966,6745,2476,54,-397,-805,-0.18,-0.32,1788.57,2910.6
11/02/2021,1764,27344,25067,3.74,13075,5642,2377,47,14,-641,0.01,-0.27,1697.0,2797.9
12/02/2021,1716,27742,23549,3.87,14982,6994,2224,44,-48,-465,-0.03,-0.21,1630.57,2706.9
13/02/2021,790,10341,5385,5.13,2382,2732,2317,49,-926,-49,-0.54,-0.06,1623.57,2599.33
14/02/2021,521,4449,2709,6.61,362,366,2384,27,-269,-95,-0.34,-0.15,1610.0,2482.57
15/02/2021,2163,22159,13295,6.51,8517,3399,2323,44,1642,-419,3.15,-0.16,1550.14,2486.73
16/02/2021,2028,30941,12105,5.11,8820,1555,2168,50,-135,-119,-0.06,-0.06,1533.14,2504.43
17/02/2021,1789,27121,10366,5.0,14806,1591,2125,42,-239,39,-0.12,0.02,1538.71,2390.57
18/02/2021,1788,26225,10798,5.36,17275,1641,2032,42,-1,24,-0.0,0.01,1542.14,2296.87
19/02/2021,1568,25371,9792,5.12,18783,3006,1943,18,-220,-148,-0.12,-0.09,1521.0,2214.03
20/02/2021,749,10674,3319,5.56,1372,670,1981,30,-819,-41,-0.52,-0.05,1515.14,2112.6
21/02/2021,525,5175,2546,6.28,324,21,2043,34,-224,4,-0.3,0.01,1515.71,2008.97
22/02/2021,2023,24770,12642,5.63,12966,1722,1978,23,1498,-140,2.85,-0.06,1495.71,2020.57
23/02/2021,1659,29519,10188,4.8,27147,1360,1914,19,-364,-369,-0.18,-0.18,1443.0,2035.33
24/02/2021,1588,26573,9790,4.6,40290,1026,1834,29,-71,-201,-0.04,-0.11,1414.29,1934.43
25/02/2021,1441,21738,9107,5.15,39367,1000,1792,27,-147,-347,-0.09,-0.19,1364.71,1859.53
26/02/2021,1387,25799,9007,4.66,30371,1520,1688,29,-54,-181,-0.04,-0.12,1338.86,1790.67
27/02/2021,631,11413,3219,4.49,2462,114,1739,34,-756,-118,-0.55,-0.16,1322.0,1700.37
28/02/2021,488,4173,2338,6.61,549,28,1793,21,-143,-37,-0.23,-0.07,1316.71,1613.4
01/03/2021,1779,24500,11720,5.29,5705,752,1703,27,1291,-244,2.65,-0.12,1281.86,1626.5
02/03/2021,1432,28980,9780,4.28,17665,996,1666,25,-347,-227,-0.2,-0.14,1249.43,1644.2
03/03/2021,1335,24919,9451,4.25,28951,1309,1643,29,-97,-253,-0.07,-0.16,1213.29,1572.1
04/03/2021,1195,22062,8660,4.19,30802,2088,1610,25,-140,-246,-0.1,-0.17,1178.14,1514.47
05/03/2021,1230,22587,8149,4.66,22093,7707,1549,25,35,-157,0.03,-0.11,1155.71,1470.3
06/03/2021,576,9359,3083,4.48,2885,1786,1598,27,-654,-55,-0.53,-0.09,1147.86,1409.33
07/03/2021,480,4433,2327,6.49,1094,332,1649,18,-96,-8,-0.17,-0.02,1146.71,1352.63
08/03/2021,1460,21237,10539,4.68,10631,4883,1589,26,980,-319,2.04,-0.18,1101.14,1373.33
09/03/2021,1252,25518,8354,4.1,14707,5365,1550,22,-208,-180,-0.14,-0.13,1075.43,1394.53
10/03/2021,1243,21973,7765,4.55,19858,5895,1514,28,-9,-92,-0.01,-0.07,1062.29,1349.9
11/03/2021,1174,17972,8144,4.74,13369,10218,1476,15,-69,-21,-0.06,-0.02,1059.29,1317.47
12/03/2021,1250,20623,7944,5.0,11927,12809,1424,18,76,20,0.06,0.02,1062.14,1300.8
13/03/2021,561,8870,2755,4.86,1740,890,1501,18,-689,-15,-0.55,-0.03,1060.0,1260.7
14/03/2021,430,4186,2258,5.89,149,55,1565,15,-131,-50,-0.23,-0.1,1052.86,1217.83
15/03/2021,1668,19813,10165,5.79,6921,3779,1501,19,1238,208,2.88,0.14,1082.57,1247.1
16/03/2021,1409,24287,8421,4.85,895,15108,1454,23,-259,157,-0.16,0.13,1105.0,1276.7
17/03/2021,1340,22098,8028,4.75,2093,29277,1430,17,-69,97,-0.05,0.08,1118.86,1249.27
18/03/2021,1368,20299,7820,5.13,2902,28812,1437,8,28,194,0.02,0.17,1146.57,1227.27
19/03/2021,1292,22251,7374,4.93,4034,23035,1362,9,-76,42,-0.06,0.03,1152.57,1210.7
20/03/2021,595,8139,2859,5.2,101,861,1413,22,-697,34,-0.54,0.06,1157.43,1170.93
21/03/2021,561,4376,2322,7.28,0,0,1434,23,-34,131,-0.06,0.3,1176.14,1137.37
22/03/2021,1798,21104,9885,5.93,2588,2402,1420,23,1237,130,2.2,0.08,1194.71,1172.33
23/03/2021,1707,27245,8935,5.31,4687,12298,1395,25,-91,298,-0.05,0.21,1237.29,1211.73
24/03/2021,1709,24089,8167,5.43,25141,23473,1386,25,2,369,0.0,0.28,1290.0,1201.27
25/03/2021,1606,22057,8091,5.64,33811,19659,1394,8,-103,238,-0.06,0.17,1324.0,1199.5
26/03/2021,1653,23787,7862,5.94,33821,13062,1332,16,47,361,0.03,0.28,1375.57,1201.67
27/03/2021,813,11902,3243,5.59,14886,342,1411,9,-840,218,-0.51,0.37,1406.71,1180.73
28/03/2021,645,6130,2337,7.61,4566,3,1483,18,-168,84,-0.21,0.15,1418.71,1156.0
29/03/2021,2001,19035,8678,7.73,25153,1507,1489,23,1356,203,2.1,0.11,1447.71,1201.67
30/03/2021,1726,20887,7217,6.95,62234,6963,1506,16,-275,19,-0.14,0.01,1450.43,1242.93
31/03/2021,1638,18434,6908,7.27,72659,11046,1466,21,-88,-71,-0.05,-0.04,1440.29,1238.23
01/04/2021,1532,16878,6287,7.99,50354,7235,1430,20,-106,-74,-0.06,-0.05,1429.71,1241.57
02/04/2021,621,4629,2611,8.35,6982,279,1489,37,-911,-1032,-0.59,-0.62,1282.29,1217.77
03/04/2021,851,8015,3516,8.25,14993,371,1561,12,230,38,0.37,0.05,1287.71,1206.3
04/04/2021,740,5418,2827,10.01,12592,3,1617,13,-111,95,-0.13,0.15,1301.29,1189.97
05/04/2021,761,5210,3165,9.31,17414,7,1721,16,21,-1240,0.03,-0.62,1124.14,1196.13
06/04/2021,2255,20780,10205,8.34,46243,2264,1726,21,1494,529,1.96,0.31,1199.71,1255.3
07/04/2021,1644,20691,7593,7.15,80726,4369,1721,19,-611,6,-0.27,0.0,1200.57,1261.43
08/04/2021,698,4063,4645,6.96,59361,3061,1695,0,-946,-834,-0.58,-0.54,1081.43,1242.97
